Filename,Status,BL_X,BL_Y,TR_X,TR_Y
IMG_2421.JPG,success,90,43,141,139
IMG_2422.JPG,success,93,57,142,159
IMG_2405.JPG,success,120,109,131,119
IMG_2406.JPG,success,128,98,139,109
IMG_2407.JPG,success,123,89,132,99
IMG_2443.a.JPG,success,133,91,141,100
IMG_2443.b.JPG,success,101,30,111,41
IMG_2423.JPG,success,104,64,162,137
IMG_2424.JPG,success,105,19,178,148
IMG_2425.a.JPG,success,132,119,142,129
IMG_2425.b.JPG,success,101,0,123,2
IMG_2426.a.JPG,success,134,125,145,136
IMG_2426.b.JPG,success,113,5,123,15
IMG_2428.JPG,success,126,115,132,127
IMG_2429.JPG,success,129,117,135,129
IMG_2430.JPG,success,122,85,129,99
IMG_2431.JPG,success,113,103,120,117
IMG_2432.JPG,success,138,94,149,106
IMG_2433.JPG,success,98,41,186,130
IMG_2434.JPG,success,92,53,148,164
IMG_2435.JPG,success,98,73,185,153
IMG_2437.JPG,success,83,100,161,162
IMG_2438.a.JPG,success,141,86,148,96
IMG_2438.b.JPG,success,123,109,130,123
IMG_2439.JPG,success,128,5,174,149
IMG_2441.JPG,success,127,79,142,90
IMG_2442.JPG,success,80,41,191,128
IMG_2453.JPG,success,169,127,177,134
IMG_2454.a.JPG,success,86,49,102,65
IMG_2454.b.JPG,success,103,68,163,126
IMG_2455.JPG,success,134,83,176,147
IMG_2456.JPG,success,117,64,181,134
IMG_2457.JPG,success,138,108,148,117
IMG_2458.JPG,success,114,57,172,135
IMG_2459.JPG,success,148,109,159,118
IMG_2460.JPG,success,111,59,185,121
IMG_2461.a.JPG,success,176,48,184,65
IMG_2461.b.JPG,success,70,97,80,122
IMG_2444.a.JPG,success,142,87,150,97
IMG_2444.b.JPG,success,68,97,76,115
IMG_2445.JPG,success,109,79,160,145
IMG_2446.JPG,success,117,73,164,135
IMG_2447.JPG,success,133,61,142,73
IMG_2448.JPG,success,95,72,154,122
IMG_2449.JPG,success,129,88,137,95
IMG_2450.JPG,success,128,99,135,109
IMG_2451.JPG,success,109,63,151,129
IMG_2452.JPG,success,108,18,167,162
IMG_2462.JPG,success,116,37,160,155
IMG_2463.JPG,success,114,34,159,147
IMG_2464.JPG,success,143,128,161,157
IMG_2465.JPG,success,158,105,158,106
IMG_2466.JPG,success,104,17,163,213
IMG_2467.JPG,success,101,27,170,201
IMG_2468.JPG,success,122,123,135,142
IMG_2469.JPG,success,114,71,155,134
IMG_2470.JPG,success,80,98,195,200
IMG_2471.JPG,success,140,118,150,126
IMG_2472.JPG,success,98,94,179,141
IMG_2474.JPG,success,93,82,172,130
IMG_2475.a.JPG,success,147,127,154,139
IMG_2475.b.JPG,success,125,31,137,41
IMG_2476.JPG,success,105,55,160,156
IMG_2477.a.JPG,success,72,173,78,179
IMG_2477.b.JPG,success,126,143,138,158
IMG_2478.JPG,success,113,8,201,161
IMG_2479.a.JPG,success,106,141,113,150
IMG_2479.b.JPG,success,151,183,159,193
IMG_2480.a.JPG,success,112,141,119,149
IMG_2480.b.JPG,success,163,63,171,71
IMG_2490.JPG,success,89,0,163,187
IMG_2491.JPG,success,127,117,148,124
IMG_2492.a.JPG,success,140,83,160,95
IMG_2492.b.JPG,success,135,157,146,180
IMG_2481.JPG,success,136,136,144,145
IMG_2482.JPG,success,102,91,158,144
IMG_2483.JPG,success,126,90,140,110
IMG_2484.JPG,success,122,29,175,176
IMG_2485.a.JPG,success,111,22,122,32
IMG_2485.b.JPG,success,114,105,132,119
IMG_2486.JPG,success,82,45,165,135
IMG_2487.a.JPG,success,84,97,93,109
IMG_2487.b.JPG,success,141,103,150,117
IMG_2488.JPG,success,126,69,193,155
IMG_2489.JPG,success,142,118,154,140
IMG_2504.JPG,success,124,126,135,158
IMG_2493.a.JPG,success,120,109,132,136
IMG_2493.b.JPG,success,182,124,192,143
IMG_2493.c.JPG,success,81,94,92,127
IMG_2493.d.JPG,success,57,36,74,64
IMG_2494.a.JPG,success,63,40,75,67
IMG_2494.b.JPG,success,85,95,94,119
IMG_2494.c.JPG,success,122,109,131,140
IMG_2494.d.JPG,success,178,117,189,140
IMG_2495.a.JPG,success,175,73,184,100
IMG_2495.b.JPG,success,96,44,105,55
IMG_2495.c.JPG,success,120,151,143,165
IMG_2496.a.JPG,success,125,106,142,131
IMG_2496.b.JPG,success,88,105,104,193
IMG_2497.a.JPG,success,131,85,139,113
IMG_2497.b.JPG,success,77,61,101,71
IMG_2498.a.JPG,success,151,133,167,147
IMG_2498.b.JPG,success,198,82,213,93
IMG_2498.c.JPG,success,126,73,136,100
IMG_2499.JPG,success,131,118,142,137
IMG_2500.JPG,success,119,3,125,12
IMG_2501.a.JPG,success,131,84,150,95
IMG_2501.b.JPG,success,129,135,144,156
IMG_2502.a.JPG,success,131,115,146,135
IMG_2502.b.JPG,success,125,160,133,169
IMG_2502.c.JPG,success,73,126,83,134
IMG_2503.JPG,success,126,114,144,133
IMG_2530.a.JPG,success,110,50,117,69
IMG_2530.b.JPG,success,113,81,121,94
IMG_2531.a.JPG,success,95,3,112,17
IMG_2531.b.JPG,success,75,51,142,131
IMG_2532.JPG,success,72,45,138,122
IMG_2533.JPG,success,114,93,127,106
IMG_2534.JPG,success,117,95,127,116
IMG_2535.JPG,success,111,105,119,118
IMG_2536.JPG,success,81,65,127,147
IMG_2537.JPG,success,84,67,125,146
IMG_2538.JPG,success,126,122,137,130
IMG_2539.JPG,success,125,103,135,115
IMG_2540.JPG,success,86,39,148,131
IMG_2541.a.JPG,success,128,70,183,106
IMG_2541.b.JPG,success,97,158,119,190
IMG_2542.JPG,success,78,62,184,162
IMG_2543.a.JPG,success,107,91,119,105
IMG_2543.b.JPG,success,144,77,188,101
IMG_2544.JPG,success,111,102,121,115
IMG_2545.JPG,success,113,112,121,125
IMG_2546.JPG,success,114,99,123,112
IMG_2505.JPG,success,123,0,161,196
IMG_2506.JPG,success,111,3,139,172
IMG_2507.JPG,success,67,19,200,137
IMG_2508.JPG,success,84,11,166,101
IMG_2509.JPG,success,90,36,188,169
IMG_2510.JPG,success,117,28,200,149
IMG_2511.JPG,success,74,117,218,150
IMG_2627.a.JPG,success,51,51,59,61
IMG_2627.b.JPG,success,119,111,130,123
IMG_2628.a.JPG,success,29,104,39,117
IMG_2628.b.JPG,success,106,103,115,114
IMG_2629.a.JPG,success,117,142,125,155
IMG_2629.b.JPG,success,175,127,187,141
IMG_2629.c.JPG,success,139,122,147,130
IMG_2630.JPG,success,95,43,138,147
IMG_2631.JPG,success,96,84,152,153
IMG_2632.JPG,success,98,52,162,139
IMG_2633.JPG,success,114,111,123,118
IMG_2634.JPG,success,87,104,140,171
IMG_2635.a.JPG,success,132,70,140,86
IMG_2635.b.JPG,success,185,56,191,68
IMG_2636.JPG,success,131,77,137,90
IMG_2637.JPG,success,109,60,141,150
IMG_2638.JPG,success,50,69,59,79
IMG_2639.JPG,success,54,13,185,121
IMG_2640.JPG,success,172,115,182,131
IMG_2641.JPG,success,92,51,176,136
IMG_2547.JPG,success,99,79,144,161
IMG_2548.a.JPG,success,130,87,138,97
IMG_2548.b.JPG,success,94,127,104,137
IMG_2550.a.JPG,success,57,97,73,118
IMG_2550.b.JPG,success,152,53,163,65
IMG_2550.c.JPG,success,115,94,126,103
IMG_2551.JPG,success,111,136,120,144
IMG_2552.JPG,success,86,115,144,164
IMG_2553.a.JPG,success,122,129,132,141
IMG_2553.b.JPG,success,96,23,106,39
IMG_2626.a.JPG,success,77,144,143,173
IMG_2626.b.JPG,success,129,117,141,130
